"Date","Weight_AM"
2018-07-20,NA
2018-07-21,164.2
2018-07-22,165.8
2018-07-23,165.8
2018-07-24,166
2018-07-25,NA
2018-07-26,166.6
2018-07-27,165.4
2018-07-28,164.4
2018-07-29,164.6
2018-07-30,164.6
2018-07-31,165
2018-08-01,163.8
2018-08-02,163.4
2018-08-03,162.4
2018-08-04,163.4
2018-08-05,164
2018-08-06,163.8
2018-08-07,163.6
2018-08-08,163.8
2018-08-09,164.6
2018-08-10,164
2018-08-11,164
2018-08-12,164
2018-08-13,163.6
2018-08-14,162.4
2018-08-15,162.6
2018-08-16,162.4
2018-08-17,163.6
2018-08-18,163.4
2018-08-19,164
2018-08-20,161.1
2018-08-21,161.6
2018-08-22,161.8
2018-08-23,162.2
2018-08-24,162
2018-08-25,162.4
2018-08-26,161.2
2018-08-27,159.2
2018-08-28,159.8
2018-08-29,160.2
2018-08-30,160
2018-08-31,161
2018-09-01,161.6
2018-09-02,159.4
2018-09-03,185.4
2018-09-03,159
2018-09-04,159.2
2018-09-05,158.2
2018-09-06,160.2
2018-09-07,160.8
2018-09-08,162.2
2018-09-09,159.8
2018-09-10,163.2
2018-09-11,165.8
2018-09-12,164
2018-09-13,163
2018-09-14,162.4
2018-09-15,164
2018-09-16,163.2
2018-09-17,168
2018-09-18,164.4
2018-09-19,172
2018-09-20,170
2018-09-21,169.2
2019-01-06,204.8
2019-01-07,205
2019-02-19,206.2
2019-02-20,206.2
2019-05-19,191
2019-05-20,190.6
2019-05-21,190.4
2019-05-22,189.4
2019-05-23,189.4
2019-05-24,189.8
2019-05-25,189.8
2019-05-26,189
2019-05-27,188.2
2019-05-28,188.8
2019-05-29,187
2019-05-30,187
2019-05-31,187
2019-06-01,187.4
2019-06-02,NA
2019-06-03,185
2019-06-04,187
2019-06-05,185.4
2019-06-06,186
2019-06-07,186
2019-06-08,186.6
2019-06-09,185
2019-06-10,183.6
2019-06-11,184.4
2019-06-12,NA
2019-06-13,NA
2019-06-14,NA
2019-06-15,NA
2019-06-16,NA
2019-06-17,NA
2019-06-18,NA
2019-06-19,NA
2019-06-20,NA
2019-06-21,NA
2019-06-22,NA
2019-06-23,NA
2019-06-24,NA
2019-06-25,NA
2019-06-26,NA
2019-06-27,NA
2019-06-28,NA
2019-06-29,NA
2019-06-30,NA
2019-07-01,NA
2019-07-02,NA
2019-07-03,NA
2019-07-04,NA
2019-07-05,NA
2019-07-06,192.2
2019-07-07,188.8
2019-07-08,192.2
2019-07-14,191
2019-07-15,192.4
2019-07-16,191.8
2019-07-17,NA
2019-07-18,190.4
2019-07-19,191.8
2019-07-20,190.4
2019-07-21,NA
2019-07-22,190
2019-07-23,191
2019-07-24,189.5
2019-07-25,NA
2019-07-26,NA
2019-07-27,190.4
2019-07-28,190.6
2019-07-29,190
2019-07-30,189.6
2019-07-31,189.6
2019-08-01,189.4
2019-08-02,187.2
2019-08-03,186.6
2019-08-04,NA
2019-08-05,185.6
2019-08-06,186
2019-08-07,185.2
2019-08-08,186.2
2019-08-09,187.2
2019-08-10,188.2
2019-08-11,187.8
2019-08-12,187.6
2019-08-13,189
2019-08-14,NA
2019-08-15,191.8
2019-08-16,193.4
2019-08-17,NA
2019-08-18,193.6
2019-08-19,192.6
2019-08-20,NA
2019-08-21,NA
2019-08-22,NA
2019-08-23,192.4
2019-08-24,NA
2019-08-25,189.2
2019-08-26,188.2
2019-08-27,187.6
2019-08-28,187
2019-08-29,186.6
2019-08-30,187.2
2019-08-31,185.2
2019-09-01,185.4
2019-09-02,185.6
2019-09-04,184.6
2019-09-05,184.8
2019-09-06,183
2019-09-07,183.2
2019-09-08,182
2019-09-09,181.4
2019-09-10,181.2
2019-09-11,180.8
2019-09-12,181
2019-09-13,179.8
2019-09-14,179
2019-09-15,179.2
2019-09-16,180.8
2019-09-17,181.6
2019-09-18,181.2
2019-09-19,182
2019-09-20,183
2019-09-21,183.6
2019-09-22,183.4
2019-09-23,183.6
2019-09-24,182.4
2019-09-25,180.8
2019-09-26,180.4
2019-09-27,178.6
2019-09-28,179.6
2019-09-29,181
2019-09-30,179.2
2019-10-01,178.4
2019-10-02,178.6
2019-10-03,176.2
2019-10-04,179
2019-10-05,187.6
2019-10-06,183.4
2019-10-07,184.6
2019-10-08,183.6
2019-10-09,183.6
2019-10-10,182.4
2019-10-11,182
2019-10-12,NA
2019-10-13,NA
2019-10-14,185.2
2019-10-15,184.4
2019-10-16,186.2
2019-10-17,185.6
2019-10-18,185.4
2019-10-19,183
2019-10-20,184.4
2019-10-21,187.6
2019-10-22,186
2019-10-23,186.2
2019-10-24,188.2
2019-10-25,189.4
2019-10-26,189.2
2019-10-27,188.4
2019-10-28,187.4
2019-10-29,187.6
2019-10-30,188
2019-10-31,187.8
2019-11-01,189
2019-11-02,189
2019-11-03,NA
2019-11-04,189.4
2019-11-05,188.8
2019-11-06,188.4
2019-11-07,186.8
2019-11-08,189.8
2019-11-09,189.8
2019-11-10,191
2019-11-11,188.8
2019-11-12,187.8
2019-11-13,187.6
2019-11-14,188.2
2019-11-15,NA
2019-11-16,NA
2019-11-17,NA
2019-11-18,192.6
2019-11-19,193.6
2019-11-20,NA
2019-11-21,195.6
2019-11-22,194.8
2019-11-23,196.2
2019-11-24,NA
2019-11-25,199
2019-11-26,194.6
2019-11-27,196.6
2019-11-28,NA
2019-11-29,NA
2019-11-30,198.2
2019-12-01,199
2019-12-02,198.8
2019-12-03,199
2019-12-04,200.2
2019-12-05,199
2019-12-06,NA
2019-12-07,201
2019-12-08,NA
2019-12-09,NA
2019-12-10,200
2019-12-11,NA
2019-12-12,203.8
2019-12-13,NA
2019-12-14,NA
2019-12-15,NA
2019-12-16,NA
2019-12-17,NA
2019-12-18,NA
2019-12-19,NA
2019-12-20,NA
2019-12-21,NA
2019-12-22,NA
2019-12-23,NA
2019-12-24,NA
2019-12-25,NA
2019-12-26,NA
2019-12-27,NA
2019-12-28,NA
2019-12-29,NA
2019-12-30,NA
2019-12-31,NA
2020-01-01,NA
2020-01-02,NA
2020-01-03,NA
2020-01-04,NA
2020-01-05,214.2
2020-01-06,212.3
2020-01-07,212.2
2020-01-08,211.5
2020-01-09,212.1
2020-01-10,212.3
2020-01-11,214.5
2020-01-12,215.1
2020-01-13,NA
2020-01-14,215.3
2020-01-15,214.2
2020-01-16,214.5
2020-01-17,213.6
2020-01-18,216.5
2020-01-19,215.8
2020-01-20,215.3
2020-01-21,215.6
2020-01-22,214
2020-01-23,214.1
2020-01-24,214
2020-01-25,214.9
2020-01-26,214.1
2020-01-27,214
2020-01-28,214.2
2020-01-29,NA
2020-01-30,NA
2020-01-31,NA
2020-02-01,213.7
2020-02-02,214.2
2020-02-03,214.4
2020-02-04,216.1
2020-02-05,214.7
2020-02-06,NA
2020-02-07,NA
2020-02-08,215.1
2020-02-09,NA
2020-02-10,215.2
2020-02-11,214.8
2020-02-12,212.9
2020-02-13,214.3
2020-02-14,216.7
2020-02-15,217.3
2020-02-16,214.3
2020-02-17,212.9
2020-02-18,213.1
2020-02-19,211.8
2020-02-20,212
2020-02-21,212.4
2020-02-22,212.2
2020-02-23,212
2020-02-24,211
2020-02-25,210.3
2020-02-26,209.9
2020-02-27,209.4
2020-02-28,208.9
2020-02-29,208
2020-03-01,210
2020-03-02,208.2
2020-03-03,209.8
2020-03-04,210.6
2020-03-05,208.9
2020-03-06,209.5
2020-03-07,209.1
2020-03-08,208.7
2020-03-09,210
2020-03-10,207.6
2020-03-11,207.6
2020-03-12,209.5
2020-03-13,210.6
2020-03-14,NA
2020-03-15,NA
2020-03-16,210.2
2020-03-17,211.1
2020-03-18,NA
2020-03-19,213
2020-03-20,NA
2020-03-21,NA
2020-03-22,213.6
2020-03-23,NA
2020-03-24,NA
2020-03-25,NA
2020-03-26,NA
2020-03-27,NA
2020-03-28,215.8
2020-03-29,NA
2020-03-30,NA
2020-03-31,215.3
2020-04-01,215.4
2020-04-02,217.8
2020-04-03,216.4
2020-04-04,NA
2020-04-05,NA
2020-04-06,NA
2020-04-07,NA
2020-04-08,NA
2020-04-09,218
2020-04-10,217.4
2020-04-11,NA
2020-04-12,NA
2020-04-13,218.6
2020-04-14,215.3
2020-04-15,NA
2020-04-16,NA
2020-04-17,NA
2020-04-18,218.8
2020-04-19,216.3
2020-04-20,NA
2020-04-21,NA
2020-04-22,NA
2020-04-23,NA
2020-04-24,NA
2020-04-25,NA
2020-04-26,NA
2020-04-27,221.6
2020-04-28,NA
2020-04-29,NA
2020-04-30,221.1
2020-05-01,223.1
2020-05-02,220
2020-05-03,218.5
2020-05-04,222.1
2020-05-05,220.1
2020-05-06,NA
2020-05-07,222.1
2020-05-08,221.9
2020-05-09,223.1
2020-05-10,223.7
2020-05-11,223.1
2020-05-12,222.4
2020-05-13,220.7
2020-05-14,222.3
2020-05-15,NA
2020-05-16,NA
2020-05-17,225.2
