"Date","muscles_group","exercises","set_1_lbs","set_1_reps","set_2_lbs","set_2_reps","set_3_lbs","set_3_reps"
2021-07-06,"Arms","Alternating Incline Dumb Bell Curl","22.5 "," 10","22.5 "," 10","22.5 "," 10"
2021-07-09,"Arms","Alternating Incline Dumb Bell Curl","60 "," 10","60 "," 10","60 "," 10"
2021-07-12,"Arms","Alternating Incline Dumb Bell Curl","22.5 "," 10","22.5 "," 10","22.5 "," 10"
2021-07-15,"Arms","Alternating Incline Dumb Bell Curl","70 "," 15","70 "," 15","70 "," 15"
2021-07-20,"Arms","Alternating Incline Dumb Bell Curl","22.5 "," 15","22.5 "," 15","22.5 "," 15"
2021-07-23,"Arms","Alternating Incline Dumb Bell Curl","35 "," 20","35 "," 20","35 "," 20"
2021-07-27,"Arms","Alternating Incline Dumb Bell Curl","25 "," 12","25 "," 12","25 "," 12"
2021-07-30,"Arms","Alternating Incline Dumb Bell Curl","35 "," 20","35 "," 20","35 "," 20"
2021-11-01,"Arms","Alternating Incline Dumb Bell Curl","35 "," 15","45 "," 12","50 "," 10"
2021-11-08,"Arms","Alternating Incline Dumb Bell Curl","30 "," 30","35 "," 24","40 "," 10"
2021-11-15,"Arms","Alternating Incline Dumb Bell Curl","40 "," 10","40 "," 10","40 "," 10"
2021-11-22,"Arms","Alternating Incline Dumb Bell Curl","45 "," 10","45 "," 10","45 "," 10"
2021-11-28,"Arms","Alternating Incline Dumb Bell Curl","45 "," 10","45 "," 10","45 "," 10"
2021-12-06,"Arms","Alternating Incline Dumb Bell Curl","45 "," 10","45 "," 10","45 "," 10"
2021-12-15,"Arms","Alternating Incline Dumb Bell Curl","45 "," 12","45 "," 12","45 "," 12"
2022-01-02,"Arms","Alternating Incline Dumb Bell Curl","40 "," 12","40 "," 12","40 "," 12"
2022-02-16,"Arms","Alternating Incline Dumb Bell Curl","17.5 "," 60",NA,NA,NA,NA
2022-05-24,"Arms","Alternating Incline Dumb Bell Curl","20 "," 10","25 "," 10","35 "," 10"
